Model,MAE,RMSE,R2
Linear Regression,24756.21894852846,28601.11960160943,-0.003182308008974566
Decision Tree,32103.14243,39660.066718339345,-0.9289486970329124
KNN,26306.885622,31259.187948100156,-0.198309989256364
